Domain,Problem,Plan-Length,Metric,Planning Time (s),Heuristic Time (s),Search Time (s),Expanded Nodes,States Evaluated,Dead-Ends,Duplicates
the_game,medium,38,38.0,0.267,0.184,0.264,998,1252,28,229
pursuit-evasion,small-0,6,6.0,0.084,0.061,0.081,8,42,0,4
pursuit-evasion,small-1,3,3.0,0.048,0.027,0.045,5,21,0,0
pursuit-evasion,small-2,3,3.0,0.043,0.023,0.04,4,13,0,0
pursuit-evasion,small-3,5,5.0,0.078,0.049,0.075,7,34,0,1
pursuit-evasion,medium-4,14,14.0,1.837,1.761,1.834,707,1701,0,3296
pursuit-evasion,medium-5,20,20.0,0.886,0.821,0.883,236,978,0,564
pursuit-evasion,medium-6,8,8.0,0.936,0.873,0.933,32,406,0,32
pursuit-evasion,large-7,21,21.0,8.864,8.798,8.862,25,348,0,12
pursuit-evasion,large-10,20,20.0,6.294,6.246,6.292,28,280,0,17
the_game,easy,6,6.0,0.02,0.008,0.016,8,8,3,0
the_game,medium,38,38.0,0.272,0.186,0.267,998,1252,28,229
the_game,hard,59,59.0,64.673,54.564,64.671,147560,172956,2,108009
the_game,very_hard,107,107.0,290.76,235.11,290.758,156469,182613,294,107065
hamiltonian-cycle,large,31,31.0,269.838,165.343,269.836,139214,146165,98835,99121
hamiltonian-cycle,medium,13,13.0,0.208,0.155,0.205,175,304,109,18
hamiltonian-cycle,small,6,6.0,0.041,0.021,0.038,14,25,4,0
logistics,logistics-21-0,154,154.0,3.481,3.22,3.475,230,6853,1008,1288
logistics,logistics-40-0,340,340.0,207.152,204.832,207.148,766,64264,4892,12894
logistics,logistics-34-0,272,272.0,62.543,61.503,62.538,475,30935,3257,5746
logistics,logistics-32-0,249,249.0,35.578,34.907,35.574,340,20477,3142,2142
logistics,logistics-5-0,36,36.0,0.109,0.059,0.103,46,270,86,97
logistics,logistics-12-0,62,62.0,0.448,0.318,0.44,129,1355,196,620
logistics,logistics-7-1,55,55.0,0.212,0.142,0.204,58,533,142,117
logistics,logistics-16-1,112,112.0,1.662,1.521,1.659,146,4124,627,469
logistics,logistics-20-1,145,145.0,3.335,3.136,3.331,246,7440,951,1529
logistics,logistics-17-1,125,125.0,1.525,1.376,1.521,147,4169,667,644
logistics,logistics-6-0,34,34.0,0.103,0.06,0.097,40,265,76,86
logistics,logistics-10-1,58,58.0,0.251,0.174,0.246,70,898,187,234
logistics,logistics-25-1,200,200.0,16.924,16.298,16.921,285,14180,1366,2074
logistics,logistics-7-0,50,50.0,0.196,0.129,0.192,66,575,126,217
logistics,log-x-3,66,66.0,14.895,14.505,14.892,249,19731,550,5064
logistics,logistics-12-1,103,103.0,0.33,0.253,0.326,136,1756,498,429
logistics,logistics-9-0,50,50.0,0.188,0.121,0.182,58,501,149,157
logistics,logistics-27-1,185,185.0,13.835,13.459,13.831,317,13885,1639,3892
logistics,logistics-4-0,26,26.0,0.073,0.039,0.068,28,169,52,52
logistics,logistics-37-1,317,317.0,124.818,123.225,124.815,518,43050,4975,4989
logistics,logistics-4-1,26,26.0,0.101,0.051,0.092,33,176,43,78
logistics,logistics-14-0,84,84.0,1.057,0.882,1.042,148,2826,376,904
logistics,logistics-24-0,200,200.0,7.129,6.8,7.125,354,12574,1659,2632
logistics,logistics-11-1,86,86.0,0.334,0.244,0.33,101,1368,251,389
logistics,logistics-17-0,120,120.0,1.423,1.294,1.411,143,3622,644,639
logistics,logistics-36-0,284,284.0,67.955,66.872,67.951,557,35985,2887,7503
logistics,logistics-23-0,163,163.0,5.005,4.795,4.999,243,8361,1123,1812
logistics,logistics-27-0,201,201.0,11.909,11.529,11.906,307,13666,1447,3152
logistics,logistics-5-1,22,22.0,0.077,0.042,0.071,29,161,38,75
logistics,logistics-22-1,160,160.0,6.701,6.349,6.694,298,10381,1161,2100
logistics,logistics-41-0,339,339.0,243.56,241.059,243.553,856,71231,5709,15888
logistics,logistics-31-1,253,253.0,39.453,38.696,39.448,423,24413,3002,3653
logistics,logistics-18-1,114,114.0,3.056,2.904,3.052,509,10809,1741,3308
logistics,logistics-38-1,282,282.0,111.921,110.434,111.918,530,41492,3515,8502
logistics,logistics-26-1,210,210.0,11.931,11.584,11.926,267,13173,1364,1842
logistics,logistics-30-0,245,245.0,23.445,23.006,23.442,353,19259,2438,2963
logistics,logistics-29-1,214,214.0,22.351,21.924,22.348,334,18987,2401,2103
logistics,logistics-24-1,201,201.0,5.819,5.579,5.815,282,9913,1592,1965
logistics,logistics-32-1,274,274.0,44.825,44.093,44.821,534,32059,3172,6016
logistics,logistics-6-2,32,32.0,0.085,0.046,0.081,40,219,80,71
logistics,logistics-14-1,103,103.0,0.836,0.711,0.832,148,3083,459,813
logistics,logistics-13-0,92,92.0,0.702,0.606,0.699,97,2070,340,313
logistics,logistics-8-1,63,63.0,0.205,0.126,0.199,73,693,189,180
logistics,logistics-6-3,27,27.0,0.074,0.042,0.069,28,156,42,56
logistics,logistics-8-0,40,40.0,0.199,0.135,0.193,51,406,89,200
logistics,logistics-19-0,133,133.0,2.665,2.505,2.661,185,5794,938,839
logistics,logistics-26-0,190,190.0,14.806,14.452,14.801,350,16366,1922,3706
logistics,logistics-13-1,77,77.0,0.594,0.504,0.591,86,1789,278,384
logistics,logistics-9-1,46,46.0,0.194,0.141,0.189,69,663,97,257
logistics,logistics-34-1,266,266.0,77.609,76.27,77.603,588,36544,3590,8138
logistics,logistics-35-0,265,265.0,69.051,67.941,69.048,574,37174,3184,8612
logistics,logistics-10-0,59,59.0,0.229,0.169,0.225,78,874,217,271
logistics,logistics-40-1,316,316.0,172.004,170.099,172.0,557,50168,4690,6751
logistics,logistics-21-1,148,148.0,3.518,3.325,3.513,247,7911,1218,1411
logistics,logistics-15-0,104,104.0,0.912,0.81,0.908,149,3189,485,741
logistics,logistics-6-1,16,16.0,0.057,0.03,0.054,19,113,16,54
logistics,logistics-28-0,228,228.0,24.755,24.162,24.749,377,19021,1908,4594
logistics,logistics-15-1,96,96.0,0.913,0.795,0.91,118,2979,420,307
logistics,logistics-39-0,310,310.0,141.661,139.71,141.656,545,44344,3699,7087
